Project Name,Package Name,Type Name,Method Name,Implementation Smell,Cause of the Smell,Method start line no
ChitChat,tictactoy,TicTacToy,checkWinner,Magic Number,The method contains a magic number: 6,55
ChitChat,tictactoy,TicTacToy,checkWinner,Magic Number,The method contains a magic number: 7,55
ChitChat,tictactoy,TicTacToy,checkWinner,Magic Number,The method contains a magic number: 4,55
ChitChat,tictactoy,TicTacToy,checkWinner,Magic Number,The method contains a magic number: 7,55
ChitChat,tictactoy,TicTacToy,checkWinner,Magic Number,The method contains a magic number: 9,55
ChitChat,tictactoy,TicTacToy,checkWinner,Magic Number,The method contains a magic number: 8,55
ChitChat,tictactoy,TicTacToy,checkWinner,Missing default,The following switch statement is missing a default case: switch (i) {,55
ChitChat,tictactoy,TicTacToy,emptyBoard,Magic Number,The method contains a magic number: 20,104
ChitChat,tictactoy,TicTacToy,emptyBoard,Magic Number,The method contains a magic number: 130,104
ChitChat,tictactoy,TicTacToy,emptyBoard,Magic Number,The method contains a magic number: 400,104
ChitChat,tictactoy,TicTacToy,emptyBoard,Magic Number,The method contains a magic number: 400,104
ChitChat,tictactoy,TicTacToy,emptyBoard,Magic Number,The method contains a magic number: 100,104
ChitChat,tictactoy,TicTacToy,emptyBoard,Magic Number,The method contains a magic number: 9,104
ChitChat,tictactoy,TicTacToy,emptyBoard,Magic Number,The method contains a magic number: 3,104
ChitChat,tictactoy,TicTacToy,emptyBoard,Magic Number,The method contains a magic number: 100,104
ChitChat,tictactoy,TicTacToy,emptyBoard,Magic Number,The method contains a magic number: 3,104
ChitChat,tictactoy,TicTacToy,emptyBoard,Magic Number,The method contains a magic number: 100,104
ChitChat,tictactoy,TicTacToy,emptyBoard,Magic Number,The method contains a magic number: 100,104
ChitChat,tictactoy,TicTacToy,emptyBoard,Magic Number,The method contains a magic number: 100,104
ChitChat,tictactoy,TicTacToy,emptyBoard,Magic Number,The method contains a magic number: 500,104
ChitChat,tictactoy,TicTacToy,emptyBoard,Magic Number,The method contains a magic number: 100,104
ChitChat,tictactoy,TicTacToy,emptyBoard,Magic Number,The method contains a magic number: 300,104
ChitChat,tictactoy,TicTacToy,emptyBoard,Magic Number,The method contains a magic number: 450,104
ChitChat,tictactoy,TicTacToy,paintComponent,Magic Number,The method contains a magic number: 100,154
ChitChat,tictactoy,TicTacToy,paintComponent,Magic Number,The method contains a magic number: 3,154
ChitChat,tictactoy,TicTacToy,paintComponent,Magic Number,The method contains a magic number: 300,154
ChitChat,tictactoy,TicTacToy,paintComponent,Magic Number,The method contains a magic number: 3,154
ChitChat,tictactoy,TicTacToy,paintComponent,Magic Number,The method contains a magic number: 300,154
ChitChat,tictactoy,TicTacToy,paintComponent,Magic Number,The method contains a magic number: 100,154
